date,open,high,low,close,volume
2021-9-14,58,58.2,46.78,46.97,56753517
2021-9-15,49,49.16,46.68,46.8,25942516
2021-9-16,47,47.29,40.5,40.61,25292220
2021-9-17,40.31,41.5,37.78,38.96,15835513
2021-9-22,38.44,40.47,38,38.98,9739834
2021-9-23,39.39,39.75,37.1,37.2,10359544
2021-9-24,37.17,38.49,35.64,37.24,10170054
2021-9-27,37.16,37.8,34.06,34.83,8613504
2021-9-28,34.96,36.64,34.8,35.76,6506932
2021-9-29,35.11,37.65,35.11,36.2,6736077
2021-9-30,36.8,39.07,36.27,38.85,9431532
2021-10-8,39.4,39.5,37.4,38,4779813
2021-10-11,38.44,39.33,37.88,38.23,4749336
2021-10-12,38.28,38.43,34.71,35.4,5770625
2021-10-13,35.37,39.09,35.35,38.4,6679892
2021-10-14,38.14,39.17,37.69,38.61,4070740
2021-10-15,38.36,41.41,37.54,40.68,8884544
2021-10-18,40.58,44.35,40.53,43.46,11620063
2021-10-19,43.62,44.99,42.45,44.15,7806521
2021-10-20,44.15,47.44,43.52,46.7,12262333
2021-10-21,46.24,48.78,45.21,47.76,8806530
2021-10-22,46.98,47.8,45.29,45.49,9246878
2021-10-25,45,48.7,43,47.85,8033185
2021-10-26,47.5,48.26,45.86,46.29,6349966
2021-10-27,46,46.91,45.03,45.95,3786202
2021-10-28,45.95,46.47,42.64,43.18,5568466
2021-10-29,43.43,43.72,41.6,42.99,4826206
2021-11-1,43.15,51,43.15,49.9,11237292
2021-11-2,50.87,50.87,47.33,48.38,5765548
2021-11-3,48.1,48.58,46.79,47.28,3498506
2021-11-4,47.6,49.18,47,48.35,4964066
2021-11-5,48.26,50.68,46.69,47.35,6633417
2021-11-8,48.16,49.95,47.17,49.8,5623146
2021-11-9,49.5,49.86,48.81,49.5,3684817
2021-11-10,49.25,49.7,46.82,47.8,3863857
2021-11-11,47.8,48.97,46.89,47.29,3362335
2021-11-12,47.34,47.94,45.55,47.3,4237308
2021-11-15,47.3,47.3,44.58,45.43,5411980
2021-11-16,45.43,46.7,43.81,44,4712620
2021-11-17,44.2,46.88,44.2,46.65,4021754
2021-11-18,46.6,49.46,45.6,48.92,5374968
2021-11-19,49,53,48.92,51.49,7315610
2021-11-22,52.17,55.08,51.3,54.5,5715317
2021-11-23,54.9,55.44,52.82,53.11,4508997
2021-11-24,53.21,54.57,52.19,52.59,2733748
2021-11-25,51.9,55,51.43,53.38,3997811
2021-11-26,53.27,56.05,53.27,55,3872526
2021-11-29,54.26,56.24,53.85,55.31,2585540
2021-11-30,56.3,56.3,53.2,53.63,2450214
2021-12-1,53.59,54.69,52.58,53.88,1990514
2021-12-2,54.85,55.32,52.86,53,2321302
2021-12-3,53,53.49,51.34,52.8,2332989
2021-12-6,52.71,53.5,51.58,51.92,1782655
2021-12-7,52.47,52.52,49.98,50.7,2962897
2021-12-8,51.15,54.63,51.01,54.31,2573217
2021-12-9,54.56,54.56,53.01,53.94,2306484
2021-12-10,53.2,56.15,53.2,54.42,3229917
2021-12-13,53.85,54.35,51.61,52.63,2761851
2021-12-14,52.58,53.15,51.6,52.46,1408626
2021-12-15,51.61,53.05,51.32,51.7,1477826
2021-12-16,52.1,52.3,51.5,52.04,923203
2021-12-17,52.01,52.01,47.06,47.9,5663703
2021-12-20,47.9,47.9,45.6,46.2,3493178
2021-12-21,45.71,47.73,45.6,47.6,3731566
2021-12-22,47.9,51.4,47.9,50.25,3165852
2021-12-23,50.5,50.99,48.8,49.12,1397938
2021-12-24,48.73,49,46.5,46.65,2772141
2021-12-27,47.07,47.66,46.35,46.74,772558
2021-12-28,46.5,47.95,46.5,47.66,1546409
2021-12-29,47.7,48.3,46.83,47.4,1499830
2021-12-30,47.79,50.97,47.21,49.59,2446724
2021-12-31,50.5,50.8,49.45,50.38,1443643
2022-1-4,51.28,51.3,48.61,49.26,1966192
2022-1-5,49,49.25,47.38,47.97,1531933
2022-1-6,47.53,49.25,47.53,48.39,1409867
2022-1-7,48.5,48.73,45.95,46.2,3219603
2022-1-10,46.8,46.99,45.05,46.48,1800070
2022-1-11,46.4,46.75,44.6,44.92,2274405
2022-1-12,45.19,48.09,45.19,47.59,2791517
2022-1-13,47.4,49,46.36,47.11,2167474
2022-1-14,47.69,48.05,46.58,47.67,2286599
2022-1-17,47.4,49.23,47.4,49.06,1894129
2022-1-18,48.99,49.54,47.25,47.55,2357381
2022-1-19,47.05,47.55,46.22,46.89,1270624
2022-1-20,47.52,47.52,45.81,46.25,1285850
2022-1-21,46,47.05,45.55,46.49,1313987
2022-1-24,46.26,47.97,45.85,47.53,997216
2022-1-25,47.53,47.87,45.27,45.3,1269133
2022-1-26,45.3,46.1,44.9,45.52,1057040
2022-1-27,45.73,46.31,43.7,44,1176694
2022-1-28,43.9,46,42.6,45.39,1349674
2022-2-7,47.4,48.69,46.01,47.38,1343191
2022-2-8,47.18,47.79,46.1,47.49,2151901
2022-2-9,47.93,48.52,47.07,48.24,1600147
2022-2-10,48.36,51.2,48.36,50.74,4832577
2022-2-11,50.5,50.81,49.37,50.2,1905644
2022-2-14,50.2,50.56,48.03,49.37,1501907
2022-2-15,49.37,53.23,49.37,52.79,3005335
2022-2-16,52.82,55.55,52.82,54.51,3358639
2022-2-17,54.38,55.11,53.69,54.03,2121707
2022-2-18,54,54.89,53,53.6,2060372
2022-2-21,53.97,54.26,51.57,53.79,2062171
2022-2-22,53.3,53.69,52.4,53.26,1377712
2022-2-23,53.26,58.34,52.52,58.08,3681487
2022-2-24,58.05,59.89,56.5,57.85,3964419
2022-2-25,58.56,60.58,58.1,59.02,2658581
2022-2-28,59.2,61.45,58.82,61.35,3469182
2022-3-1,61.51,63.4,60.3,61.45,2900313
2022-3-2,60.91,62.2,59.33,61.45,2420695
2022-3-3,61.39,63.27,60.64,61.41,2449250
2022-3-4,60.8,62.88,60.21,60.98,3497562
2022-3-7,61.87,61.87,58.2,59.04,2996337
2022-3-8,58.98,60.39,53,54.12,6061725
2022-3-9,55.6,55.6,49.39,51.39,4866455
2022-3-10,54,55.08,53.33,54.37,4203507
2022-3-11,54.05,58.23,53.97,57.05,5945521
2022-3-14,55.83,56.85,54.81,54.94,4396791
